data_solicitacao;ano_sol;caso_sirsaelp;unidade;superintendencia;diretoria;competencia;tipopericia;perito
2025-07-31 10:08:00;2025;2025.2.8708;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Pesquisa de Drogas Psicoativas;RUBENS
2025-07-31 10:10:00;2025;2025.1.8459;Joinville;Joinville;Criminalística;Identificação de veículos;Identificação Veicular;LUIZ
2025-07-31 10:22:00;2025;2025.9.3307;Lages;Lages;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;ARTUR
2025-07-31 10:22:00;2025;2025.14.4282;Tubarão;Criciúma;Criminalística;Balística;Exame em Arma,  Munição e/ou Objeto;MAURÍCIO
2025-07-31 10:26:00;2025;2025.14.4282;Tubarão;Criciúma;Criminalística;Balística;Exame em Arma,  Munição e/ou Objeto;MAURÍCIO
2025-07-31 10:42:00;2025;2024.2.12965;Florianópolis;Florianópolis;Médico Legal;Psiquiatria Forense;Perícia Psiquiátrica;RAFAEL
2025-07-31 11:23:00;2025;2025.5.2374;Jaraguá do Sul;Joinville;Criminalística;Identificação de veículos;Identificação Veicular;MARINA
2025-07-31 11:31:00;2025;2024.2.10753;Florianópolis;Florianópolis;Criminalística;Perícias ambientais;Local de Danos à Flora;JOÃO
2025-07-31 11:33:00;2025;2025.33.3630;Florianópolis;Florianópolis;Análises Forenses;Toxicologia Forense;Análise Toxicológica;BRUNA
2025-07-31 11:44:00;2025;2025.1.8461;Joinville;Joinville;Criminalística;Identificação de veículos;Identificação Veicular;LUIZ
2025-07-31 12:51:00;2025;2025.33.3627;Florianópolis;Florianópolis;Análises Forenses;Toxicologia Forense;Análise Toxicológica;ELISA
2025-07-31 12:59:00;2025;2024.5.3897;Jaraguá do Sul;Joinville;Médico Legal;Traumatologia Forense;Lesão Corporal;GIOVANI
2025-07-31 13:06:00;2025;2025.18.1398;Concórdia;Chapecó;Criminalística;Engenharia Forense;Local de Incêndio;ERIC
2025-07-31 13:07:00;2025;2025.1.8467;Joinville;Joinville;Criminalística;Perícias papiloscópicas;Pesquisa e Confronto Papiloscópico ;LUIZ
2025-07-31 13:13:00;2025;2025.19.5791;Criciúma;Criciúma;Criminalística;Perícias ambientais;Local de Poluição;RAFAEL
2025-07-31 13:16:00;2025;2025.33.3628;Florianópolis;Florianópolis;Análises Forenses;Toxicologia Forense;Análise Toxicológica;BRUNA
